sku_id,sku_name,description,price,category,stock
ELBOW-BRASS-050,Brass Threaded Elbow Fitting 1/2 Inch,High quality 1/2 inch brass elbow joint for water/gas pipe connections,12.5,Plumbing,150
PTFE-TAPE-12,PTFE Teflon Seal Tape 12mm,Teflon thread seal tape 12mm x 10m for plumbing connections,1.2,Plumbing,5
BOLT-HEX-M8-50,Hex Head Bolt M8 x 50mm,Zinc plated steel hex head bolts M8 size 50mm length,0.45,Fasteners,1000
NUT-HEX-M8,Hex Nut M8 Zinc Plated,Standard M8 hexagonal steel nut zinc plated,0.1,Fasteners,800
WASHER-FLAT-M8,Flat Washer M8 Zinc Plated,Standard flat steel washer for M8 bolts,0.05,Fasteners,1200
HAMMER-CLAW-16,Claw Hammer 16oz Fiberglass,16 oz professional claw hammer with fiberglass handle,15.99,Tools,12
WD40-SPRAY-300,WD-40 Multi-Use Lubricant 300ml,WD-40 anti-rust and lubricating spray 300ml,6.5,Chemicals,40
PVC-PIPE-075-10,PVC Schedule 40 Pipe 3/4 Inch 10ft,Rigid PVC pipe 3/4 inch diameter 10 feet length for drainage,8.25,Plumbing,50
VALVE-BALL-BR-075,Brass Ball Valve 3/4 Inch Female,Heavy duty full port brass ball valve 3/4 inch thread,14.8,Plumbing,30
SWITCH-WALL-1G,1-Gang Wall Switch 10A White,Single gang 10 Amp wall light switch plates white classic design,3.2,Electrical,75
WIRE-COPPER-14-50,Copper Wire 14 AWG Solid 50ft,Solid core insulated copper electrical wire 14 gauge 50 feet,22.5,Electrical,8
SCREW-WOOD-4-20,Wood Screw Flat Head #4 x 3/4 Inch,Phillips flat head wood screws steel pack of 100,4.5,Fasteners,300
SCREW-WOOD-8-40,Wood Screw Flat Head #8 x 1.5 Inch,Phillips flat head wood screws steel pack of 50,5.8,Fasteners,10
TAPE-ELEC-BLK,Electrical Tape Black 20m,Professional grade PVC electrical insulation tape black color,1.5,Electrical,100
PLIER-COMB-8,Combination Pliers 8 Inch,Heavy duty insulated combination wire cutter and pliers 8 inch,12.5,Tools,15
WRENCH-ADJ-10,Adjustable Wrench 10 Inch,Carbon steel adjustable crescent wrench 10 inch length,14.99,Tools,8
LED-BULB-9W,LED Light Bulb 9W Cool White,Energy saving E27 base 9 watt LED light bulb pack of 4,8.99,Electrical,40
TAPE-MEASURE-8M,Tape Measure 8m/26ft Steel,Heavy duty auto-lock steel measuring tape with metric/imperial scales,9.5,Tools,20
GLUE-WOOD-500,PVA Wood Glue 500ml,High strength weather resistant D3 wood adhesive glue 500ml,7.25,Chemicals,25
PAINT-WALL-WHT-5L,Emulsion Wall Paint White 5L,Interior emulsion wall paint matt finish brilliant white 5 Liters,29.99,Paint,30
BRUSH-PAINT-2,Paint Brush 2 Inch Basic,Synthetic bristle paint brush 2 inch for general painting,2.5,Paint,150
SANDPAPER-120,Sandpaper Sheets 120 Grit Medium,Medium grit dry silicon carbide sandpaper sheets pack of 10,3.5,Paint,200
HACKSAW-STEEL-12,Steel Hacksaw Frame 12 Inch,Heavy duty steel frame hacksaw with 12 inch carbon steel blade,11.2,Tools,10
GLOVE-WORK-L,Leather Work Gloves Size L,Heavy duty cowhide leather safety work gloves for construction,6.99,Tools,22
DRILL-BIT-SET-15,Masonry & Metal Drill Bit Set 15pc,Multi-purpose twist drill bit set 1.5mm to 10mm 15 pieces,18.5,Tools,10
SILICONE-CLR-300,Silicone Sealant Clear 300ml,Waterproof clear acetoxy silicone sealant cartridge 300ml,5.4,Chemicals,60
