sku_id,sku_name,description,price,category,stock
COMP-LAB-01,Labour Law Compliance Audit,Full audit of factory/establishment under Indian Labour laws,15000.0,Compliance,100
COMP-EPF-02,EPF & ESIC Monthly Filing,Monthly processing and filing of EPF & ESIC returns,5000.0,Compliance,100
TAX-GST-03,GST Monthly Return Filing,GST reconciliation and GSTR-1/3B filing,4500.0,Tax Advisory,100
TAX-TDS-04,TDS Quarterly Filing & Reconciliation,Quarterly filing of Form 24Q and 26Q,6000.0,Tax Advisory,100
TAX-ITR-05,Corporate Income Tax Return Filing,Annual filing of ITR-6 for corporate entities,25000.0,Tax Advisory,100
AUD-STAT-06,Statutory Audit Assistance,Advisory and prep assistance for statutory corporate audit,35000.0,Audit,100
LIA-LIC-07,Trade License Liaisoning,Application and follow-up for local municipality trade license,8000.0,Liaisoning,100
LIA-PCB-08,Pollution Control Board Clearance,Application and clearance facilitation from state PCB,18000.0,Liaisoning,100
TAX-PLAN-09,Tax Planning & Restructuring Advisory,Strategic consulting for corporate tax optimization,20000.0,Consulting,100
COMP-OSHA-10,OSHA Workplace Safety Audit,Safety assessment under OSHA and factory act guidelines,12000.0,Compliance,100
